,order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
0,ORDJ07617,2018-08-17,15:36:20,Lunch,TP,"[('Chicken', 6),('Steak', 5),('Burger', 9),('Salad', 2)]",730.4,-37.8187901,144.95527969999998,0,8.299,11.9385084
1,ORDY05853,2018-06-26,13:44:47,Lunch,TP,"[('Chicken', 9),('Burger', 4),('Steak', 1),('Salad', 6)]",560.2,-37.8247138,144.9847144,0,8.921,12.535315800000001
2,ORDI02968,2018-01-26,08:50:42,Breakfast,NS,"[('Coffee', 4),('Pancake', 7),('Eggs', 4)]",287.75,-37.824976899999996,144.98882340000003,0,9.692,14.3908544
3,ORDY06446,2018-06-24,13:44:47,Lunch,TP,"[('Steak', 2),('Chicken', 9),('Salad', 10)]",550.0,-37.8188581,144.9741129,0,8.197,13.361015599999998
4,ORDZ01045,2018-10-02,17:07:36,Dinner,NS,"[('Pasta', 1),('Fish&Chips', 9),('Salmon', 8),('Shrimp', 2)]",778.5,-37.812362,144.9737199,0,7.5760000000000005,13.7317539
5,ORDA06887,2018-03-11,10:11:49,Breakfast,BK,"[('Pancake', 3),('Eggs', 10),('Coffee', 2),('Cereal', 5)]",412.75,-37.8036436,144.9633913,0,7.6739999999999995,14.7030815
6,ORDB08630,2018-11-26,18:49:00,Dinner,TP,"[('Fish&Chips', 9),('Shrimp', 7),('Pasta', 8)]",913.0,-37.806154600000006,144.9583045,0,9.074,12.801646
7,ORDZ09998,2018-07-16,14:25:21,Lunch,NS,"[('Steak', 3),('Chicken', 3)]",231.0,-37.8220233,144.9539584,0,9.6,14.4548068
8,ORDY01587,2018-03-26,10:42:15,Breakfast,TP,"[('Pancake', 10),('Cereal', 4),('Coffee', 3),('Eggs', 7)]",503.0,-37.8059018,144.97354019999997,0,9.474,11.9192339
9,ORDZ05882,2018-11-14,18:28:43,Dinner,NS,"[('Pasta', 9),('Shrimp', 5),('Fish&Chips', 5),('Salmon', 7)]",979.5,-37.8186091,144.9679892,0,8.43,14.0729432
10,ORDC05125,2018-08-19,15:36:20,Lunch,NS,"[('Salad', 2),('Burger', 5)]",189.4,-37.8148335,144.96155090000002,0,8.254,15.9541914
11,ORDB01134,2018-01-05,08:00:00,Breakfast,TP,"[('Cereal', 5),('Pancake', 7),('Coffee', 2),('Eggs', 7)]",443.75,-37.8123899,144.93693290000002,1,10.659,6.447127200000001
12,ORDC10200,2018-09-14,16:27:02,Dinner,NS,"[('Pasta', 8),('Salmon', 10),('Shrimp', 5),('Fish&Chips', 10)]",1250.0,-37.8151294,144.93525469999997,0,10.104,15.9774392
13,ORDI07395,2018-04-26,11:43:05,Breakfast,NS,"[('Cereal', 8),('Coffee', 7),('Pancake', 7)]",390.25,-37.803559899999996,144.9764865,0,6.904,12.038755
14,ORDX07459,2018-02-25,09:41:24,Breakfast,BK,"[('Cereal', 10),('Pancake', 6),('Coffee', 7),('Eggs', 8)]",584.0,-37.814754799999996,144.9615148,1,7.891,15.7795997
15,ORDY05546,2018-05-27,12:43:56,Lunch,TP,"[('Salad', 2),('Steak', 8),('Burger', 5),('Chicken', 9)]",837.4,-37.811477000000004,144.97305380000003,0,8.839,13.554916500000001
16,ORDB05011,2018-11-04,18:08:27,Dinner,TP,"[('Fish&Chips', 7),('Salmon', 9),('Shrimp', 7)]",992.0,-37.817534,144.9704597,0,7.9079999999999995,13.8679956
17,ORDB08109,2018-01-26,08:50:42,Breakfast,TP,"[('Pancake', 3),('Eggs', 6),('Coffee', 5),('Cereal', 7)]",389.25,-37.820226399999996,144.95312119999997,0,8.708,11.146351199999998
18,ORDB08390,2018-07-07,14:15:12,Lunch,TP,"[('Steak', 9),('Salad', 2),('Burger', 3),('Chicken', 3)]",628.4,-37.81863,145.0160648,0,12.751,17.1111298
19,ORDX09527,2018-02-18,09:31:16,Breakfast,BK,"[('Pancake', 7),('Eggs', 9),('Cereal', 2),('Coffee', 9)]",477.25,-37.808751799999996,144.9625248,0,7.579,14.5073639
20,ORDA02017,2018-09-26,16:57:27,Dinner,BK,"[('Shrimp', 10),('Pasta', 2),('Salmon', 2)]",677.0,-37.816725,144.9990208,0,4.79,11.2990792
21,ORDB06972,2018-12-31,20:00:00,Dinner,TP,"[('Shrimp', 4),('Fish&Chips', 8),('Pasta', 8),('Salmon', 1)]",757.0,-37.8048333,144.9588489,0,9.146,13.449187099999998
22,ORDY05364,2018-02-04,09:00:50,Breakfast,TP,"[('Cereal', 1),('Coffee', 7),('Pancake', 1),('Eggs', 5)]",207.75,-37.81868370000001,144.9427816,0,9.568,13.486846900000002
23,ORDZ10290,2018-06-10,13:14:21,Lunch,NS,"[('Burger', 5),('Salad', 5),('Steak', 6)]",511.0,-37.815019299999996,144.9451592,0,9.171,16.7373108
24,ORDB03754,2018-10-21,17:38:01,Dinner,TP,"[('Salmon', 7),('Shrimp', 7),('Pasta', 4)]",775.0,-37.8177144,144.9549266,0,8.411,14.1625131
25,ORDC06115,2018-11-14,18:28:43,Dinner,NS,"[('Shrimp', 8),('Salmon', 8),('Pasta', 9),('Fish&Chips', 4)]",1147.5,-37.819873,144.9850654,0,9.107999999999999,15.008291
26,ORDJ05821,2018-07-17,14:25:21,Lunch,TP,"[('Fries', 9),('Chicken', 7),('Burger', 1),('Salad', 6)]",466.2,-37.817085600000006,144.9780405,0,8.79,11.5639595
27,ORDI10841,2018-03-11,10:11:49,Breakfast,NS,"[('Coffee', 10),('Pancake', 4)]",172.0,-37.8115093,144.93579580000002,0,10.174,17.1702212
28,ORDZ09311,2018-01-17,08:30:25,Breakfast,NS,"[('Coffee', 5),('Cereal', 4)]",121.5,-37.8062519,144.93380269999997,1,10.045,7.454937200000001
29,ORDY01698,2018-01-10,08:10:08,Breakfast,TP,"[('Cereal', 9),('Pancake', 4)]",286.0,-37.8070369,144.9570793,1,9.24,6.035734400000001
30,ORDB11075,2018-03-06,10:01:41,Breakfast,TP,"[('Coffee', 10),('Pancake', 3),('Eggs', 3),('Cereal', 9)]",402.75,-37.816187899999996,144.982733,0,9.131,10.9301216
31,ORDA01295,2018-03-14,10:21:58,Breakfast,BK,"[('Eggs', 1),('Cereal', 8),('Pancake', 8),('Coffee', 9)]",451.5,-37.807931700000005,144.97170380000003,0,6.656000000000001,11.684047300000001
32,ORDB00533,2018-03-19,10:32:06,Breakfast,TP,"[('Eggs', 9),('Cereal', 4)]",282.0,-37.8151166,144.952238,0,8.85,11.3734009
33,ORDK07268,2018-10-02,17:07:36,Dinner,BK,"[('Salmon', 5),('Pasta', 2),('Fish&Chips', 6)]",470.0,-37.8244413,144.9526875,0,9.12,15.418038399999999
34,ORDB10277,2018-09-02,16:06:45,Dinner,TP,"[('Shrimp', 4),('Fish&Chips', 9),('Salmon', 2)]",613.0,-37.8141109,144.96326619999996,0,8.021,13.5019685
35,ORDC04943,2018-10-20,17:38:01,Dinner,NS,"[('Pasta', 7),('Salmon', 6),('Shrimp', 3),('Fish&Chips', 3)]",705.5,-37.825170299999996,144.9574889,0,9.674,18.075208
36,ORDA05961,2018-04-10,11:12:40,Breakfast,BK,"[('Cereal', 7),('Eggs', 5),('Pancake', 2)]",305.5,-37.8207783,144.96700769999998,0,7.917000000000001,12.5075715
37,ORDI08613,2018-02-05,09:10:59,Breakfast,NS,"[('Coffee', 2),('Eggs', 4)]",103.0,-37.8009215,144.9810626,0,7.149,12.140679400000002
38,ORDI00352,2018-08-01,15:05:54,Lunch,NS,"[('Fries', 4),('Burger', 10)]",358.0,-37.7994394,144.97241090000003,0,6.312,12.078780499999999
39,ORDX04478,2018-01-04,08:00:00,Breakfast,BK,"[('Pancake', 7),('Coffee', 7),('Cereal', 9),('Eggs', 5)]",521.25,-37.8180537,144.9669245,1,7.51,6.2679812
40,ORDZ10183,2018-03-16,10:21:58,Breakfast,NS,"[('Pancake', 10),('Eggs', 2)]",286.5,-37.812231,144.9886793,0,8.702,13.739125199999998
41,ORDC00421,2018-07-05,14:05:04,Lunch,NS,"[('Burger', 6),('Salad', 8),('Fries', 1),('Steak', 9)]",740.6,-37.8235601,144.9356707,0,10.856,15.7620277
42,ORDK06915,2018-08-12,15:26:11,Lunch,BK,"[('Steak', 8),('Burger', 5),('Fries', 4),('Chicken', 7),('Salad', 6)]",890.2,-37.8142217,144.9370471,0,10.352,18.893250199999997
43,ORDC04053,2018-02-12,09:21:07,Breakfast,NS,"[('Cereal', 5),('Coffee', 3),('Eggs', 3)]",193.5,-37.8191715,144.9542421,0,9.192,14.1808667
44,ORDA01624,2018-03-26,10:42:15,Breakfast,BK,"[('Pancake', 1),('Cereal', 1)]",45.25,-37.79935379999999,144.9745435,0,7.365,12.627968199999998
