,order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
0,ORDC03038,2018-04-03,11:02:32,Breakfast,NS,"[('Eggs', 5), ('Pancake', 10)]",352.5,-37.8122743,144.9890736,0,8.737,13.3762055
1,ORDA07743,2018-05-30,12:54:05,Lunch,BK,"[('Steak', 4), ('Chicken', 4), ('Burger', 7), ('Salad', 10), ('Fries', 6)]",769.0,-37.8043801,144.9297315,0,10.562000000000001,16.460243300000002
2,ORDI05524,2018-02-12,09:21:07,Breakfast,NS,"[('Cereal', 8), ('Eggs', 8), ('Coffee', 7)]",396.5,-37.8076461,144.9546008,0,8.248,13.1851253
3,ORDI06303,2018-08-12,15:26:11,Lunch,NS,"[('Fries', 4), ('Chicken', 7), ('Burger', 2), ('Salad', 7), ('Steak', 5)]",679.4,-37.813534499999996,144.9693589,0,7.684,14.961275500000001
4,ORDZ08782,2018-04-16,11:22:49,Breakfast,NS,"[('Cereal', 9), ('Coffee', 5), ('Eggs', 8), ('Pancake', 10)]",645.0,-37.8103554,144.969275,0,7.237,12.269602
5,ORDA06891,2018-01-19,08:30:25,Breakfast,BK,"[('Cereal', 10), ('Eggs', 1), ('Pancake', 7)]",401.75,-37.823536600000004,144.9808725,0,6.984,12.103056500000001
6,ORDY01417,2018-01-13,08:20:16,Breakfast,TP,"[('Pancake', 9), ('Coffee', 1), ('Eggs', 6)]",357.75,-37.819273100000004,144.98852069999998,1,9.472000000000001,7.3004204
7,ORDA07013,2018-08-19,15:36:20,Lunch,BK,"[('Salad', 3), ('Steak', 4), ('Chicken', 4), ('Burger', 8)]",607.6,-37.8043,144.9458355,0,9.06,17.580106100000002
8,ORDJ04617,2018-12-15,19:29:34,Dinner,TP,"[('Fish&Chips', 3), ('Shrimp', 9)]",591.0,-37.824386600000004,144.9437285,0,9.15,14.9153256
9,ORDY04176,2018-09-09,16:16:54,Dinner,TP,"[('Fish&Chips', 5), ('Shrimp', 6), ('Salmon', 5), ('Pasta', 6)]",869.0,-37.8101926,144.96138290000002,0,8.501,14.3385269
10,ORDC03307,2018-06-11,13:14:21,Lunch,NS,"[('Salad', 2), ('Fries', 10), ('Chicken', 8), ('Burger', 9), ('Steak', 1)]",734.4,-37.823965,144.94375780000001,0,10.578,16.1695613
12,ORDC01230,2018-06-25,13:44:47,Lunch,NS,"[('Salad', 9), ('Burger', 2), ('Chicken', 5), ('Steak', 8)]",736.8,-37.8045552,144.91604080000002,0,11.575999999999999,17.1738758
13,ORDC02506,2018-06-30,13:54:55,Lunch,NS,"[('Burger', 10), ('Steak', 4), ('Chicken', 9), ('Fries', 6), ('Salad', 7)]",970.4,-37.8125138,144.936229,0,10.064,17.5429643
14,ORDJ03791,2018-06-05,13:04:13,Lunch,TP,"[('Chicken', 6), ('Salad', 4), ('Burger', 9), ('Fries', 3)]",575.8,-37.8114234,144.92921930000003,0,11.883,15.075783600000001
15,ORDA01784,2018-03-22,10:32:06,Breakfast,BK,"[('Pancake', 9), ('Coffee', 3), ('Eggs', 7)]",394.75,-37.8178914,144.9619646,0,7.9510000000000005,12.6110513
16,ORDK09342,2018-07-24,14:45:38,Lunch,BK,"[('Burger', 10), ('Chicken', 5)]",470.0,-37.803927,144.94961980000002,0,8.829,14.585977300000001
17,ORDK06149,2018-10-30,17:58:18,Dinner,BK,"[('Fish&Chips', 2), ('Salmon', 3)]",193.0,-37.821645399999994,144.99449130000002,0,5.6610000000000005,12.6384771
18,ORDI08369,2018-03-09,10:11:49,Breakfast,NS,"[('Pancake', 7), ('Cereal', 3)]",232.75,-37.7998806,145.00898,0,10.059,14.867130300000001
19,ORDZ06972,2018-01-25,08:40:33,Breakfast,NS,"[('Cereal', 6), ('Coffee', 10)]",201.0,-37.812087,144.9451785,0,9.11,13.0804454
20,ORDK02666,2018-03-14,10:21:58,Breakfast,BK,"[('Cereal', 7), ('Coffee', 4)]",177.0,-37.8130316,144.9514686,0,8.554,13.416837099999999
21,ORDJ00492,2018-07-11,14:15:12,Lunch,TP,"[('Burger', 7), ('Chicken', 9), ('Fries', 6), ('Steak', 8), ('Salad', 5)]",1023.0,-37.803208000000005,144.9738755,0,9.78,12.8174708
22,ORDY01946,2018-08-26,15:46:28,Lunch,TP,"[('Steak', 8), ('Salad', 1), ('Fries', 8), ('Chicken', 5), ('Burger', 8)]",881.2,-37.8123375,144.93852280000002,0,10.875,15.4772979
